CustomerID,Age,Subscription_Duration_Months,Contract_Type,Monthly_Logins,Last_Purchase_Days_Ago,App_Usage_Time_Min,Monthly_Spend,Discount_Usage_Percentage,Customer_Support_Calls,Satisfaction_Score,Is_Churn
CUST-00036,31,12,Annual,17,6,28.7,107.89,0.03,3,4,0
CUST-00037,55,39,Monthly,19,5,33.8,138.84,0.2,4,3,0
CUST-00038,22,17,Monthly,9,4,21.9,283.7,0.66,1,4,0
CUST-00039,49,33,Monthly,16,21,25.4,582.15,0.45,0,4,0
CUST-00040,30,6,Annual,7,27,24.9,85.98,0.37,3,4,0
CUST-00041,27,56,Monthly,11,1,11.1,585.32,0.32,0,4,0
CUST-00042,39,22,Monthly,10,3,2.5,29.22,0.11,1,4,0
CUST-00043,69,4,Monthly,15,50,26.5,401.09,0.27,4,4,0
CUST-00044,60,31,Monthly,7,8,21.3,289.09,0.09,3,4,0
CUST-00045,26,26,Monthly,12,9,24.7,15.83,0.25,3,3,0
CUST-00046,53,14,Monthly,10,5,30.7,169.11,0.12,3,4,0
CUST-00047,33,43,Annual,12,5,18.3,108.15,0.15,1,5,0
CUST-00048,46,54,Annual,13,31,19.9,129.52,0.29,1,4,0
CUST-00049,57,48,Annual,12,17,7.0,20.68,0.23,1,5,0
CUST-00050,46,4,Monthly,14,50,9.6,263.34,0.25,3,4,1
CUST-00051,66,47,Monthly,14,1,17.2,66.01,0.14,1,5,0
CUST-00052,23,24,Annual,16,6,12.6,64.48,0.34,2,4,0
CUST-00053,25,14,Monthly,14,2,31.8,62.81,0.36,1,5,0
CUST-00054,22,60,Annual,12,5,11.6,94.47,0.34,1,5,0
CUST-00055,52,52,Monthly,10,0,1.0,49.9,0.1,2,4,0
CUST-00056,51,42,Annual,13,9,23.3,98.44,0.17,1,4,0
CUST-00057,68,29,Annual,9,17,19.6,55.89,0.11,2,5,0
CUST-00058,64,52,Monthly,13,14,18.0,86.32,0.13,1,5,0
CUST-00059,30,47,Annual,19,8,27.2,49.72,0.3,2,4,0
CUST-00060,38,25,Annual,15,6,15.4,131.4,0.2,2,3,0
CUST-00061,46,22,Monthly,11,25,25.0,45.6,0.4,0,5,0
CUST-00062,59,29,Monthly,9,14,26.8,201.3,0.43,0,5,0
CUST-00063,28,17,Annual,19,19,13.5,375.95,0.04,3,4,0
CUST-00064,31,39,Monthly,15,16,25.8,145.41,0.29,0,5,0
CUST-00065,42,37,Monthly,6,19,40.6,29.62,0.36,3,3,0
CUST-00066,66,1,Monthly,11,1,8.1,146.75,0.5,1,5,0
CUST-00067,61,35,Annual,21,20,26.6,91.52,0.27,2,4,0
CUST-00068,47,12,Annual,15,9,13.1,194.47,0.54,3,4,0
CUST-00069,52,35,Monthly,9,15,19.4,107.33,0.37,0,5,0
CUST-00070,61,29,Annual,10,31,21.4,152.37,0.14,1,3,0
CUST-00071,34,22,Annual,10,4,6.1,196.44,0.34,0,5,0
CUST-00072,43,12,Monthly,15,13,13.1,69.52,0.47,1,4,0
CUST-00073,64,31,Annual,11,12,8.1,44.41,0.36,1,4,0
CUST-00074,67,26,Monthly,21,32,9.6,318.56,0.33,1,5,0
CUST-00075,38,59,Annual,13,11,12.7,148.54,0.27,4,4,0
CUST-00076,30,51,Monthly,14,37,42.2,157.51,0.44,1,5,0
CUST-00077,52,38,Monthly,16,5,16.9,126.0,0.34,0,5,0
CUST-00078,67,55,Monthly,11,14,1.5,43.03,0.26,0,4,0
CUST-00079,63,55,Monthly,9,8,7.7,80.6,0.24,3,4,0
CUST-00080,48,2,Monthly,11,48,22.2,51.21,0.34,1,4,0
CUST-00081,25,50,Annual,9,9,13.7,155.89,0.08,1,5,0
CUST-00082,40,57,Annual,11,34,24.3,38.04,0.75,0,5,0
CUST-00083,65,23,Annual,12,10,34.6,68.13,0.58,2,4,0
CUST-00084,60,15,Annual,10,1,20.6,173.07,0.21,2,5,0
CUST-00085,47,16,Monthly,11,4,17.5,65.01,0.65,2,5,0
CUST-00086,40,18,Annual,13,11,16.0,94.58,0.48,2,5,0
CUST-00087,37,28,Annual,14,0,2.8,71.34,0.43,1,5,0
CUST-00088,33,51,Annual,11,30,9.7,67.91,0.27,1,4,0
CUST-00089,33,50,Monthly,10,46,29.6,43.63,0.3,3,4,1
CUST-00090,62,8,Annual,10,3,7.3,23.98,0.48,1,5,0
CUST-00091,63,5,Annual,19,1,14.7,162.14,0.35,0,5,0
CUST-00092,45,36,Monthly,10,3,1.0,164.54,0.43,1,4,0
CUST-00093,44,23,Annual,15,9,18.9,169.18,0.43,1,5,0
CUST-00094,59,29,Monthly,13,22,23.2,125.04,0.28,0,5,0
CUST-00095,22,7,Monthly,16,5,26.9,69.86,0.44,0,4,0
CUST-00096,42,7,Annual,14,15,8.0,42.41,0.31,0,5,0
CUST-00097,47,47,Monthly,14,6,22.2,63.41,0.3,1,4,0
CUST-00098,38,49,Monthly,12,14,1.0,227.1,0.43,1,5,0
CUST-00099,33,20,Monthly,15,13,17.4,72.09,0.45,3,4,0
CUST-00100,55,49,Monthly,10,7,22.9,65.05,0.33,2,4,0
CUST-00101,58,31,Monthly,13,4,22.9,38.98,0.07,1,3,0
CUST-00102,43,14,Annual,16,9,18.5,56.79,0.46,6,2,1
CUST-00103,58,41,Monthly,13,15,14.1,67.52,0.1,2,3,1
CUST-00104,49,19,Monthly,12,8,20.2,32.09,0.28,1,4,0
CUST-00105,53,8,Monthly,10,19,23.1,27.97,0.07,4,3,0
CUST-00106,30,49,Monthly,10,61,1.0,47.01,0.51,0,5,0
CUST-00107,64,10,Annual,8,6,12.8,123.86,0.25,2,5,0
CUST-00108,20,27,Monthly,17,42,6.6,36.99,0.01,3,4,1
CUST-00109,56,59,Annual,12,0,2.8,28.26,0.82,4,3,0
CUST-00110,63,40,Monthly,10,10,30.3,508.27,0.25,2,4,0
CUST-00111,51,51,Monthly,12,53,16.4,235.66,0.14,0,4,0
CUST-00112,19,7,Annual,16,3,30.3,58.11,0.3,4,4,0
CUST-00113,57,44,Monthly,20,3,28.4,177.91,0.4,1,5,0
CUST-00114,34,45,Annual,7,8,30.2,74.56,0.59,1,4,0
CUST-00115,33,30,Monthly,5,37,15.8,90.1,0.39,2,5,0
CUST-00116,51,20,Annual,9,12,26.3,704.06,0.22,1,5,0
CUST-00117,39,44,Monthly,13,1,21.4,133.37,0.11,4,3,0
CUST-00118,52,23,Monthly,10,24,17.3,136.04,0.06,4,3,1
CUST-00119,55,41,Annual,14,7,31.3,192.27,0.32,2,5,0
CUST-00120,23,7,Monthly,8,2,18.4,41.48,0.11,1,4,0
CUST-00121,52,21,Monthly,11,34,40.0,82.83,0.34,2,4,1
CUST-00122,46,44,Monthly,12,5,31.6,240.42,0.47,0,5,0
CUST-00123,41,52,Monthly,15,3,27.5,63.69,0.19,3,3,0
CUST-00124,30,59,Annual,20,10,26.6,32.3,0.33,0,5,0
CUST-00125,34,3,Monthly,13,21,29.9,61.07,0.37,2,4,0
CUST-00126,51,8,Monthly,15,0,29.7,65.93,0.08,1,5,0
CUST-00127,65,12,Annual,10,7,27.8,38.8,0.3,2,4,0
CUST-00128,32,29,Monthly,10,2,28.2,107.51,0.11,0,5,0
CUST-00129,30,50,Annual,14,8,12.2,25.93,0.04,0,5,0
CUST-00130,40,14,Annual,15,7,20.1,108.57,0.22,1,5,0
CUST-00131,47,10,Monthly,11,29,16.1,40.53,0.57,2,4,0
CUST-00132,43,27,Monthly,14,21,22.2,34.62,0.26,2,5,0
CUST-00133,59,36,Annual,14,8,7.6,28.21,0.16,4,4,0
CUST-00134,52,26,Monthly,14,4,22.7,114.32,0.19,1,5,0
CUST-00135,64,41,Annual,15,15,19.5,340.99,0.2,2,5,0
CUST-00136,68,13,Annual,10,0,10.9,142.2,0.05,3,3,0
CUST-00137,58,57,Monthly,16,27,26.3,95.6,0.1,0,5,0
CUST-00138,65,17,Annual,13,35,21.0,64.6,0.48,2,4,0
CUST-00139,40,9,Annual,12,6,7.7,57.73,0.54,0,4,0
CUST-00140,31,10,Annual,14,20,11.4,544.02,0.24,3,3,1
CUST-00141,66,38,Monthly,12,1,31.1,125.5,0.25,2,4,0
CUST-00142,60,1,Annual,10,11,24.5,70.23,0.28,0,5,0
CUST-00143,63,37,Annual,13,20,23.4,80.25,0.39,3,4,1
CUST-00144,66,5,Monthly,13,0,23.7,364.25,0.27,2,4,0
CUST-00145,36,17,Monthly,14,11,20.8,164.14,0.07,0,5,0
CUST-00146,60,26,Monthly,9,44,13.6,84.58,0.55,3,4,0
CUST-00147,69,50,Monthly,17,25,3.5,55.17,0.49,1,4,0
CUST-00148,68,26,Monthly,9,7,36.8,181.99,0.12,3,4,0
CUST-00149,27,5,Annual,14,0,13.4,59.63,0.54,2,4,0
CUST-00150,21,2,Annual,12,4,14.5,10.0,0.21,1,5,0
CUST-00151,22,30,Annual,20,26,36.2,106.31,0.38,3,4,0
CUST-00152,36,12,Annual,11,0,11.8,90.12,0.23,1,5,0
CUST-00153,69,8,Annual,10,11,4.0,95.59,0.35,0,5,0
CUST-00154,19,56,Monthly,9,5,26.7,73.77,0.1,1,4,0
CUST-00155,29,30,Monthly,10,0,1.0,81.5,0.48,1,4,0
CUST-00156,35,49,Monthly,13,7,24.6,293.16,0.34,1,4,0
CUST-00157,25,56,Annual,11,4,22.6,139.64,0.42,1,4,0
CUST-00158,40,2,Monthly,13,40,12.0,54.54,0.11,3,4,1
CUST-00159,24,32,Monthly,17,11,40.2,86.14,0.47,1,5,0
CUST-00160,58,17,Annual,9,56,1.0,120.94,0.43,2,4,0
CUST-00161,28,59,Monthly,8,11,23.1,196.63,0.1,1,4,0
CUST-00162,37,33,Monthly,14,11,11.8,283.67,0.19,3,4,0
CUST-00163,57,55,Monthly,13,2,23.1,108.88,0.42,2,5,0
CUST-00164,40,37,Monthly,21,27,16.9,28.92,0.35,3,4,1
CUST-00165,59,56,Annual,6,12,25.2,104.23,0.51,1,4,0
CUST-00166,53,39,Monthly,8,13,11.8,33.16,0.08,3,4,0
CUST-00167,52,9,Monthly,7,9,9.6,199.53,0.49,1,5,0
CUST-00168,35,22,Monthly,10,13,8.8,29.96,0.23,5,3,1
CUST-00169,62,52,Monthly,11,1,23.6,177.39,0.27,1,4,1
CUST-00170,44,21,Monthly,12,29,9.2,274.13,0.31,2,5,1
CUST-00171,58,50,Monthly,9,5,29.0,123.4,0.37,2,4,0
CUST-00172,68,1,Monthly,9,0,24.9,125.12,0.26,1,5,0
CUST-00173,19,29,Monthly,11,14,38.6,77.05,0.03,3,4,0
CUST-00174,69,51,Annual,10,12,21.8,111.67,0.31,2,4,0
CUST-00175,21,47,Annual,11,5,38.6,149.69,0.23,2,4,0
CUST-00176,56,39,Monthly,11,60,17.7,291.71,0.42,3,3,1
CUST-00177,49,42,Annual,16,6,20.8,167.31,0.1,1,5,0
CUST-00178,46,18,Annual,13,36,17.6,161.76,0.16,1,4,0
CUST-00179,60,17,Annual,15,7,31.0,59.33,0.11,2,3,0
CUST-00180,31,19,Monthly,12,27,21.9,217.53,0.16,1,5,0
CUST-00181,52,17,Annual,12,17,10.8,179.69,0.31,1,5,0
CUST-00182,57,42,Annual,15,6,36.5,158.69,0.39,2,4,0
CUST-00183,56,8,Annual,14,69,18.0,89.94,0.37,2,4,0
CUST-00184,23,60,Annual,12,1,12.2,123.95,0.42,3,4,0
CUST-00185,19,58,Monthly,13,16,27.6,208.46,0.1,2,5,0
CUST-00186,48,56,Monthly,8,84,37.5,113.59,0.22,2,4,1
CUST-00187,37,4,Monthly,15,1,14.0,40.35,0.15,1,5,0
CUST-00188,28,28,Monthly,9,6,38.0,95.9,0.32,0,4,0
CUST-00189,35,18,Monthly,13,19,15.2,347.08,0.11,1,5,0
CUST-00190,67,16,Monthly,11,8,23.0,116.23,0.15,3,4,1
CUST-00191,53,9,Monthly,12,33,31.5,59.84,0.16,2,4,0
CUST-00192,33,8,Monthly,11,6,1.0,59.55,0.24,1,4,0
CUST-00193,66,41,Annual,10,8,21.0,78.25,0.25,2,5,0
CUST-00194,49,18,Monthly,11,10,12.3,176.85,0.45,0,5,0
CUST-00195,58,20,Monthly,17,23,18.7,15.7,0.45,2,4,1
CUST-00196,65,2,Monthly,7,8,32.0,499.9,0.45,0,4,0
CUST-00197,68,29,Annual,12,26,32.0,157.5,0.44,1,5,0
CUST-00198,50,38,Monthly,12,9,42.1,47.05,0.13,2,5,0
CUST-00199,18,18,Monthly,4,17,31.6,63.91,0.15,3,5,0
CUST-00200,60,57,Monthly,13,8,35.0,30.74,0.32,0,4,0
CUST-00201,31,59,Monthly,4,0,27.3,28.79,0.23,1,5,0
CUST-00202,55,42,Monthly,5,1,24.0,117.43,0.42,2,4,0
CUST-00203,35,20,Monthly,14,0,25.8,80.73,0.5,1,5,0
CUST-00204,46,21,Monthly,13,54,15.4,176.88,0.15,0,5,0
CUST-00205,49,39,Monthly,10,22,31.4,306.58,0.26,3,3,1
CUST-00206,46,38,Monthly,9,12,13.9,103.4,0.02,3,4,0
CUST-00207,19,25,Annual,12,29,27.7,76.94,0.58,1,4,0
CUST-00208,58,16,Monthly,7,8,10.5,109.03,0.16,3,4,0
CUST-00209,27,54,Monthly,12,15,17.1,36.26,0.1,2,4,0
CUST-00210,29,32,Monthly,13,8,4.3,235.19,0.04,2,4,0
CUST-00211,60,55,Annual,13,9,6.3,188.87,0.1,2,4,0
CUST-00212,27,25,Annual,15,38,32.8,75.62,0.54,1,5,0
CUST-00213,67,49,Annual,6,10,36.6,698.98,0.34,2,4,0
CUST-00214,68,21,Monthly,11,2,22.3,78.57,0.15,3,3,0
CUST-00215,48,28,Annual,13,2,16.8,281.28,0.42,1,5,0
CUST-00216,60,60,Annual,9,14,7.0,191.97,0.06,1,4,0
CUST-00217,31,5,Monthly,11,24,16.6,187.98,0.1,1,4,0
CUST-00218,28,15,Annual,17,10,21.7,61.9,0.09,2,4,0
CUST-00219,19,25,Annual,9,26,20.8,378.06,0.48,2,3,0
CUST-00220,20,25,Annual,12,2,1.0,98.42,0.19,2,4,0
CUST-00221,26,9,Monthly,10,10,27.1,21.03,0.4,1,5,0
CUST-00222,28,4,Annual,12,9,9.3,255.77,0.33,0,4,0
CUST-00223,36,60,Monthly,11,9,17.2,25.25,0.07,2,5,0
CUST-00224,48,60,Monthly,12,21,9.1,110.04,0.13,3,4,0
CUST-00225,68,13,Monthly,18,23,10.2,51.59,0.46,0,5,0
CUST-00226,30,19,Monthly,9,6,15.1,82.5,0.23,2,4,0
CUST-00227,55,44,Annual,11,46,19.8,252.54,0.06,6,3,1
CUST-00228,47,40,Monthly,12,19,12.5,140.98,0.2,1,5,0
CUST-00229,49,56,Annual,7,13,32.3,43.73,0.18,1,5,0
CUST-00230,33,34,Monthly,11,24,32.8,140.01,0.2,0,5,0
CUST-00231,49,7,Monthly,15,15,19.9,45.43,0.28,0,5,0
CUST-00232,69,45,Monthly,17,4,24.1,151.31,0.13,0,5,0
CUST-00233,45,49,Annual,13,8,16.1,122.88,0.09,2,4,0
CUST-00234,35,42,Annual,12,15,14.7,57.27,0.39,3,4,0
CUST-00235,63,50,Annual,9,27,8.4,245.36,0.35,0,5,0
CUST-00236,58,10,Monthly,13,25,1.0,190.26,0.09,3,4,0
CUST-00237,30,12,Monthly,12,2,36.1,194.57,0.03,1,4,0
CUST-00238,68,58,Monthly,12,22,21.6,57.68,0.33,2,4,0
CUST-00239,27,47,Annual,16,17,28.6,106.93,0.14,2,4,0
CUST-00240,39,46,Monthly,11,7,22.8,41.33,0.46,1,5,0
CUST-00241,59,2,Annual,8,79,14.2,108.97,0.57,2,5,0
CUST-00242,47,39,Monthly,8,2,31.9,97.45,0.2,1,5,0
CUST-00243,39,5,Annual,11,13,25.6,89.85,0.25,1,4,0
CUST-00244,21,55,Annual,11,21,22.0,161.42,0.3,1,4,0
CUST-00245,54,14,Annual,14,0,20.9,76.17,0.14,0,4,0
CUST-00246,21,45,Monthly,19,3,33.2,39.75,0.24,1,5,0
CUST-00247,46,17,Monthly,12,11,27.3,132.55,0.18,1,5,0
CUST-00248,33,42,Annual,13,21,29.7,149.2,0.33,1,4,0
CUST-00249,53,4,Annual,17,18,26.0,107.89,0.13,2,4,0
CUST-00250,41,29,Monthly,8,70,14.2,47.4,0.25,3,4,1
CUST-00251,25,59,Annual,8,14,15.1,377.89,0.23,4,4,0
CUST-00252,50,45,Annual,6,0,12.7,197.59,0.13,0,5,0
CUST-00253,54,35,Annual,9,3,22.1,39.57,0.36,0,5,0
CUST-00254,52,21,Monthly,16,33,18.9,86.71,0.25,0,5,0
CUST-00255,42,1,Annual,9,0,22.1,127.08,0.43,0,5,0
CUST-00256,64,44,Monthly,12,7,26.9,44.82,0.53,3,3,1
CUST-00257,67,35,Monthly,6,27,8.8,77.43,0.19,1,5,0
CUST-00258,19,25,Monthly,19,6,7.9,48.18,0.36,1,5,0
CUST-00259,59,22,Annual,10,1,11.9,104.06,0.06,2,4,0
CUST-00260,21,37,Annual,12,12,28.0,54.08,0.45,0,4,0
CUST-00261,52,29,Monthly,16,1,12.8,58.48,0.02,0,5,0
CUST-00262,42,1,Monthly,13,0,13.2,57.52,0.56,2,4,0
CUST-00263,31,21,Annual,16,0,17.1,69.86,0.19,0,5,0
CUST-00264,52,24,Monthly,17,16,7.4,96.83,0.17,4,4,0
CUST-00265,41,3,Monthly,16,25,13.6,43.26,0.25,4,4,1
CUST-00266,60,25,Annual,16,26,25.8,30.45,0.57,0,5,0
CUST-00267,20,59,Monthly,11,19,1.0,75.59,0.11,0,5,0
CUST-00268,58,7,Monthly,14,10,8.6,88.48,0.15,4,3,1
CUST-00269,65,30,Annual,9,7,34.5,96.23,0.27,0,5,0
CUST-00270,48,25,Annual,14,18,1.0,100.73,0.25,0,5,0
CUST-00271,43,28,Monthly,18,67,13.7,54.7,0.14,2,4,0
CUST-00272,31,36,Monthly,11,10,8.3,118.51,0.3,1,4,0
CUST-00273,65,32,Monthly,10,10,14.9,163.92,0.44,1,5,0
CUST-00274,52,22,Annual,10,8,18.2,43.04,0.2,1,5,0
CUST-00275,63,7,Monthly,15,11,35.0,149.58,0.32,2,4,0
CUST-00276,56,14,Monthly,6,7,39.0,162.57,0.66,2,5,0
CUST-00277,53,48,Annual,3,5,29.9,223.67,0.32,2,3,0
CUST-00278,52,54,Annual,7,3,20.1,137.31,0.31,0,5,0
CUST-00279,64,25,Monthly,12,5,24.5,129.79,0.39,1,5,0
CUST-00280,31,32,Annual,8,51,36.1,73.98,0.34,1,4,0
CUST-00281,53,4,Monthly,13,2,7.8,41.47,0.36,2,4,1
CUST-00282,19,44,Monthly,8,13,30.5,87.01,0.19,2,4,0
CUST-00283,32,41,Monthly,10,38,15.0,173.93,0.45,2,3,1
CUST-00284,36,41,Monthly,10,4,21.8,49.56,0.27,2,4,0
CUST-00285,51,44,Monthly,13,38,13.3,48.67,0.22,0,5,0
CUST-00286,61,36,Annual,17,6,24.6,152.14,0.51,2,4,0
CUST-00287,32,41,Monthly,14,1,20.0,495.83,0.45,1,5,0
CUST-00288,38,36,Monthly,11,18,19.5,91.76,0.31,3,5,1
CUST-00289,53,22,Monthly,15,21,22.1,20.36,0.41,3,3,0
CUST-00290,64,58,Annual,10,0,13.4,99.37,0.18,1,4,0
CUST-00291,38,4,Annual,8,27,25.5,107.29,0.28,1,5,0
CUST-00292,51,5,Annual,13,36,4.2,74.91,0.05,3,4,1
CUST-00293,39,7,Monthly,15,0,16.0,64.94,0.46,0,5,0
CUST-00294,62,11,Monthly,8,4,7.6,215.68,0.5,2,5,0
CUST-00295,67,7,Annual,8,8,20.6,51.92,0.36,3,3,1
CUST-00296,57,45,Monthly,15,38,1.0,33.94,0.33,2,4,0
CUST-00297,18,35,Annual,9,20,14.1,40.32,0.22,2,4,0
CUST-00298,55,54,Monthly,12,14,20.0,130.54,0.14,3,4,0
CUST-00299,34,41,Annual,12,3,23.7,22.2,0.4,2,5,0
CUST-00300,48,54,Monthly,13,4,20.4,60.16,0.07,0,5,0
CUST-00301,39,40,Monthly,13,1,31.4,106.83,0.1,1,4,0
CUST-00302,23,22,Monthly,10,7,18.0,27.44,0.07,1,5,0
CUST-00303,31,42,Monthly,12,23,2.5,77.25,0.19,0,5,0
CUST-00304,48,43,Monthly,18,36,18.3,73.8,0.18,0,5,0
CUST-00305,46,14,Annual,14,24,22.4,81.32,0.25,3,4,0
CUST-00306,20,25,Annual,15,4,26.2,91.15,0.41,1,4,0
CUST-00307,23,47,Monthly,9,6,9.3,107.0,0.42,3,4,0
CUST-00308,45,5,Annual,15,49,17.5,198.26,0.18,2,5,0
CUST-00309,66,16,Annual,19,22,18.7,163.93,0.09,4,3,1
CUST-00310,37,45,Annual,18,2,19.5,124.3,0.07,2,4,0
CUST-00311,50,2,Monthly,16,3,1.0,132.65,0.5,1,5,0
CUST-00312,62,36,Monthly,15,2,21.6,66.34,0.39,0,5,0
CUST-00313,59,56,Monthly,13,21,17.3,25.65,0.31,2,5,0
CUST-00314,47,12,Monthly,13,2,31.2,48.71,0.16,1,4,0
CUST-00315,24,43,Monthly,6,18,11.1,17.7,0.22,3,4,0
CUST-00316,58,33,Monthly,11,6,17.4,84.89,0.43,0,5,0
CUST-00317,50,46,Monthly,13,6,13.9,38.83,0.19,0,5,0
CUST-00318,59,40,Annual,11,2,20.2,88.18,0.11,1,4,0
CUST-00319,64,41,Monthly,14,1,29.6,34.14,0.2,1,5,0
CUST-00320,30,26,Monthly,12,6,31.6,118.39,0.63,3,3,0
CUST-00321,39,24,Monthly,14,7,33.9,100.41,0.12,3,4,0
CUST-00322,53,17,Monthly,11,32,22.3,52.59,0.07,3,3,1
CUST-00323,60,35,Monthly,10,18,14.0,50.61,0.14,1,5,0
CUST-00324,47,39,Annual,10,8,21.1,47.36,0.3,1,5,0
CUST-00325,47,14,Monthly,9,23,15.3,131.43,0.5,1,4,0
CUST-00326,35,33,Monthly,14,8,25.7,55.39,0.1,1,5,0
CUST-00327,51,25,Annual,16,7,21.7,66.87,0.02,2,4,0
CUST-00328,24,36,Monthly,10,36,36.1,84.1,0.25,1,5,0
CUST-00329,21,49,Monthly,12,15,8.9,50.47,0.32,1,5,1
CUST-00330,68,12,Annual,8,11,25.0,143.21,0.13,2,4,0
CUST-00331,23,36,Monthly,14,11,17.2,63.16,0.41,0,5,0
CUST-00332,28,47,Annual,12,15,30.0,20.96,0.28,2,4,0
CUST-00333,68,40,Monthly,19,18,5.8,172.6,0.23,2,5,0
CUST-00334,48,29,Annual,12,8,1.0,54.7,0.51,3,4,0
CUST-00335,25,32,Monthly,10,19,43.9,63.69,0.74,2,4,0
CUST-00336,65,48,Annual,14,6,34.7,188.23,0.51,1,5,0
CUST-00337,23,44,Monthly,9,15,17.0,84.21,0.23,0,5,0
CUST-00338,28,34,Annual,11,90,15.5,79.99,0.25,3,5,0
CUST-00339,41,30,Monthly,11,13,13.9,45.29,0.28,3,4,0
CUST-00340,42,37,Annual,10,40,21.1,333.94,0.07,2,5,0
CUST-00341,52,15,Monthly,13,9,29.0,75.91,0.33,2,5,0
CUST-00342,34,35,Monthly,8,6,41.1,78.53,0.16,4,4,0
CUST-00343,21,15,Monthly,14,0,15.9,213.99,0.47,1,4,0
CUST-00344,25,31,Annual,14,29,19.0,81.45,0.26,0,5,0
CUST-00345,20,56,Monthly,4,14,15.8,269.76,0.18,1,4,0
CUST-00346,32,9,Annual,14,3,20.5,20.8,0.23,0,5,0
CUST-00347,26,58,Annual,7,13,23.3,18.43,0.09,2,4,0
CUST-00348,68,7,Monthly,16,1,1.0,104.93,0.19,2,4,0
CUST-00349,68,24,Annual,14,11,35.0,67.27,0.37,2,3,0
CUST-00350,50,1,Annual,16,1,23.2,236.1,0.37,0,5,0
CUST-00351,60,56,Monthly,9,23,37.3,63.18,0.37,1,5,0
CUST-00352,63,60,Monthly,18,23,37.2,165.76,0.2,0,4,0
CUST-00353,62,7,Annual,19,14,29.0,51.53,0.36,0,5,0
CUST-00354,67,26,Annual,9,85,1.0,46.92,0.58,3,3,1
CUST-00355,51,35,Monthly,6,29,35.9,234.94,0.11,1,4,0
CUST-00356,40,26,Monthly,10,46,15.6,18.37,0.26,1,4,0
CUST-00357,36,40,Annual,13,17,23.5,179.11,0.6,2,4,0
CUST-00358,30,44,Monthly,10,0,17.6,62.97,0.26,3,4,0
CUST-00359,18,17,Monthly,12,8,13.3,272.42,0.11,1,5,0
CUST-00360,54,22,Monthly,11,1,7.1,93.24,0.13,1,5,0
CUST-00361,49,42,Monthly,13,2,4.8,246.94,0.23,1,5,0
CUST-00362,46,8,Monthly,9,17,19.8,72.18,0.32,1,5,0
CUST-00363,58,2,Annual,9,6,9.9,89.45,0.29,2,5,0
CUST-00364,62,42,Annual,16,4,26.0,168.42,0.41,0,5,0
CUST-00365,47,20,Monthly,16,22,8.1,52.36,0.07,5,3,1
CUST-00366,64,60,Monthly,13,5,23.3,45.88,0.13,2,4,0
